attribute,adf_stat_original,p_value_original,stationary_original,difference_order,adf_stat_transformed,p_value_transformed,stationary_transformed
AW,-1.399,0.1625,False,1,-3.7192,0.0097,True
Beds,-3.5164,0.0339,True,0,-3.5164,0.0339,True
Bus,-3.4904,0.0228,True,0,-3.4904,0.0228,True
DEU,-3.3666,0.0275,True,0,-3.3666,0.0275,True
DWU,-3.6835,0.0038,True,0,-3.6835,0.0038,True
ERV,-0.9886,0.2494,False,1,-3.8785,0.0059,True
ESV,-0.8827,0.1579,False,1,-3.8964,0.0108,True
GCBA,-3.5687,0.0232,True,0,-3.5687,0.0232,True
GDP,-1.0898,0.0946,False,1,-4.54,0.0017,True
GSA,-3.5812,0.0264,True,0,-3.5812,0.0264,True
HETeach,-3.9667,0.0142,True,0,-3.9667,0.0142,True
LFE,-1.5203,0.2479,False,1,-3.9983,0.0232,True
PD,-3.1347,0.0076,True,0,-3.1347,0.0076,True
PIV,-3.3858,0.0125,True,0,-3.3858,0.0125,True
PRA,-3.2795,0.0074,True,0,-3.2795,0.0074,True
Phys,-3.452,0.0298,True,0,-3.452,0.0298,True
SIV,-3.2805,0.0123,True,0,-3.2805,0.0123,True
TIV,-4.0868,0.0179,True,0,-4.0868,0.0179,True
Teach,-3.5483,0.0184,True,0,-3.5483,0.0184,True
UR,-1.3126,0.2032,False,1,-3.9139,0.0141,True
URate,-1.5706,0.1815,False,1,-3.8036,0.0046,True
