city,attribute,r2_var,mae_var,rmse_var
Beijing,AW,0.7628095438138434,0.1702,0.2079
Beijing,Beds,0.8397765861545828,0.0949,0.1226
Beijing,Bus,0.7829969620785528,0.12689999999999999,0.1673
Beijing,DEU,0.7959142770170061,0.1249,0.15539999999999998
Beijing,DWU,0.7501621905751925,0.17149999999999999,0.20670000000000002
Beijing,ERV,0.9086492871607262,0.073,0.0955
Beijing,ESV,0.8003480781781886,0.11449999999999999,0.1349
Beijing,GCBA,0.7626685446619149,0.1336,0.1618
Beijing,GDP,0.8378859605454092,0.0895,0.1133
Beijing,GSA,0.7729700461126163,0.135,0.17
Beijing,HETeach,0.7870874733166853,0.1478,0.1812
Beijing,LFE,0.7873698454830867,0.168,0.1957
Beijing,PD,0.7657040794948243,0.1986,0.2677
Beijing,PIV,0.8266527273455943,0.1251,0.1514
Beijing,PRA,0.779645618881871,0.1668,0.2054
Beijing,Phys,0.7947553019308757,0.1293,0.1508
Beijing,SIV,0.801336786816942,0.1332,0.17329999999999998
Beijing,TIV,0.9394645903227878,0.038,0.051100000000000007
Beijing,Teach,0.7814890636079959,0.1563,0.18719999999999998
Beijing,UR,0.8345541516585535,0.128,0.155
Beijing,URate,0.7992913037443286,0.1173,0.1353
Tianjin,AW,0.7646697087988789,0.1674,0.2026
Tianjin,Beds,0.80227174927751,0.1199,0.1396
Tianjin,Bus,0.7717798997146184,0.1743,0.23420000000000002
Tianjin,DEU,0.8112248805169856,0.126,0.1672
Tianjin,DWU,0.7487640160762875,0.1655,0.19079999999999997
Tianjin,ERV,0.8889391757800835,0.0761,0.09539999999999998
Tianjin,ESV,0.7987577134518153,0.136,0.158
Tianjin,GCBA,0.7471480091866101,0.16949999999999998,0.2032
Tianjin,GDP,0.8067491087805978,0.15410000000000001,0.1975
Tianjin,GSA,0.7476032520206576,0.17129999999999998,0.1998
Tianjin,HETeach,0.7710937952986807,0.1728,0.205
Tianjin,LFE,0.7619500780142682,0.1435,0.171
Tianjin,PD,0.7413439276664487,0.209,0.2702
Tianjin,PIV,0.8088126103421177,0.1519,0.19039999999999999
