attribute,year,original_value,transformed_value
AW,2001,40.2466,-3.7128
AW,2002,36.5338,5.5067
AW,2003,42.0405,-1.8436
AW,2004,40.1969,1.3503
AW,2005,41.5472,2.8125
AW,2006,44.3597,4.048
AW,2007,48.4076,-1.5825
AW,2008,46.8251,5.8254
AW,2009,52.6505,3.058
AW,2010,55.7085,-1.695
AW,2011,54.0135,1.0942
AW,2012,55.1077,1.0702
AW,2013,56.1779,4.4317
AW,2014,60.6096,-0.7386
AW,2015,59.8709,2.1875
AW,2016,62.0584,-1.5715
AW,2017,60.487,4.8475
AW,2018,65.3345,0.9354
AW,2019,66.2699,-2.4176
AW,2020,63.8522,6.3769
AW,2021,70.2292,-1.7556
AW,2022,68.4736,-1.2583
AW,2023,67.2153,46.6492
AW,2024,113.8645,-0.2132
AW,2025,113.6513,-0.1087
AW,2026,113.5426,0.4363
AW,2027,113.9789,-0.1329
AW,2028,113.846,0.0972
AW,2029,113.9432,-0.247
AW,2030,113.6962,0.4782
Beds,2000,60.6495,60.6495
Beds,2001,62.3453,62.3453
Beds,2002,61.7112,61.7112
Beds,2003,63.6127,63.6127
Beds,2004,67.6451,67.6451
Beds,2005,67.3617,67.3617
Beds,2006,67.885,67.885
Beds,2007,69.709,69.709
Beds,2008,71.084,71.084
Beds,2009,72.8048,72.8048
Beds,2010,73.0656,73.0656
Beds,2011,77.4921,77.4921
Beds,2012,78.1747,78.1747
Beds,2013,78.9662,78.9662
Beds,2014,75.9409,75.9409
Beds,2015,83.655,83.655
Beds,2016,82.9517,82.9517
Beds,2017,86.2032,86.2032
Beds,2018,87.7873,87.7873
Beds,2019,88.1242,88.1242
Beds,2020,89.2542,89.2542
Beds,2021,90.2452,90.2452
Beds,2022,94.0334,94.0334
Beds,2023,114.6662,114.6662
Beds,2024,115.7999,115.7999
Beds,2025,115.9011,115.9011
Beds,2026,116.3127,116.3127
Beds,2027,116.2861,116.2861
Beds,2028,116.9323,116.9323
Beds,2029,116.9282,116.9282
Beds,2030,116.862,116.862
Bus,2000,108.8713,108.8713
Bus,2001,108.7523,108.7523
Bus,2002,111.7562,111.7562
Bus,2003,108.3096,108.3096
Bus,2004,111.4419,111.4419
Bus,2005,112.9928,112.9928
Bus,2006,113.4875,113.4875
Bus,2007,113.68,113.68
Bus,2008,116.2319,116.2319
Bus,2009,115.4724,115.4724
Bus,2010,118.064,118.064
Bus,2011,119.4419,119.4419
Bus,2012,115.7876,115.7876
Bus,2013,116.4096,116.4096
Bus,2014,117.2496,117.2496
Bus,2015,120.0126,120.0126
Bus,2016,117.7515,117.7515
Bus,2017,122.9471,122.9471
Bus,2018,121.9585,121.9585
Bus,2019,120.8511,120.8511
Bus,2020,121.1424,121.1424
Bus,2021,122.1486,122.1486
Bus,2022,126.811,126.811
Bus,2023,108.4027,108.4027
Bus,2024,109.0917,109.0917
Bus,2025,109.2819,109.2819
Bus,2026,109.717,109.717
Bus,2027,109.3173,109.3173
Bus,2028,110.7158,110.7158
Bus,2029,110.2505,110.2505
Bus,2030,110.5776,110.5776
DEU,2000,105.5105,105.5105
DEU,2001,105.0903,105.0903
DEU,2002,108.7555,108.7555
DEU,2003,110.2929,110.2929
DEU,2004,107.5126,107.5126
DEU,2005,111.1232,111.1232
DEU,2006,112.2949,112.2949
DEU,2007,113.294,113.294
DEU,2008,114.7207,114.7207
DEU,2009,111.7249,111.7249
DEU,2010,114.3924,114.3924
DEU,2011,111.2879,111.2879
DEU,2012,114.0494,114.0494
DEU,2013,114.7619,114.7619
DEU,2014,113.12,113.12
DEU,2015,114.8819,114.8819
DEU,2016,117.2577,117.2577
DEU,2017,119.4357,119.4357
DEU,2018,117.4773,117.4773
DEU,2019,117.1151,117.1151
DEU,2020,116.2689,116.2689
DEU,2021,120.2135,120.2135
DEU,2022,116.6887,116.6887
DEU,2023,96.7922,96.7922
DEU,2024,97.2391,97.2391
DEU,2025,97.7225,97.7225
DEU,2026,97.4892,97.4892
DEU,2027,97.5959,97.5959
DEU,2028,97.9065,97.9065
DEU,2029,98.1895,98.1895
DEU,2030,98.0907,98.0907
DWU,2000,45.638,45.638
DWU,2001,46.545,46.545
DWU,2002,46.6946,46.6946
DWU,2003,43.9804,43.9804
DWU,2004,44.9722,44.9722
DWU,2005,45.2664,45.2664
DWU,2006,48.1116,48.1116
DWU,2007,48.1063,48.1063
DWU,2008,43.1124,43.1124
DWU,2009,43.0977,43.0977
DWU,2010,44.9013,44.9013
DWU,2011,44.4799,44.4799
DWU,2012,44.3903,44.3903
DWU,2013,41.1224,41.1224
DWU,2014,47.9074,47.9074
DWU,2015,45.875,45.875
DWU,2016,43.0189,43.0189
DWU,2017,48.7205,48.7205
DWU,2018,43.2827,43.2827
DWU,2019,46.4056,46.4056
DWU,2020,50.0536,50.0536
DWU,2021,50.1552,50.1552
DWU,2022,47.6367,47.6367
DWU,2023,113.3667,113.3667
DWU,2024,113.9269,113.9269
DWU,2025,114.0715,114.0715
DWU,2026,114.4231,114.4231
DWU,2027,114.8315,114.8315
DWU,2028,114.9209,114.9209
DWU,2029,115.2408,115.2408
DWU,2030,115.7263,115.7263
ERV,2001,70.8803,0.7889
ERV,2002,71.6692,3.4464
ERV,2003,75.1156,2.471
ERV,2004,77.5866,-5.546
ERV,2005,72.0406,-1.6815
ERV,2006,70.3591,5.9082
ERV,2007,76.2673,0.111
ERV,2008,76.3783,4.6076
ERV,2009,80.9859,0.553
ERV,2010,81.5389,-4.184
ERV,2011,77.3549,3.5755
ERV,2012,80.9304,2.4688
ERV,2013,83.3992,-3.4961
ERV,2014,79.9031,8.9825
ERV,2015,88.8855,0.7305
ERV,2016,89.616,3.3795
ERV,2017,92.9955,-6.3964
ERV,2018,86.599,4.6853
ERV,2019,91.2843,-0.296
ERV,2020,90.9883,-1.2639
ERV,2021,89.7245,7.9463
ERV,2022,97.6708,1.2336
ERV,2023,98.9044,41.9746
ERV,2024,140.879,0.4295
ERV,2025,141.3085,0.1488
ERV,2026,141.4573,0.0119
ERV,2027,141.4692,0.4653
ERV,2028,141.9345,0.3442
ERV,2029,142.2787,0.1733
ERV,2030,142.452,0.2348
ESV,2001,50.757,0.5885
ESV,2002,51.3455,1.6455
ESV,2003,52.991,0.0132
ESV,2004,53.0043,0.045
ESV,2005,53.0493,-4.3476
ESV,2006,48.7017,1.1208
ESV,2007,49.8225,8.108
ESV,2008,57.9305,-10.2258
ESV,2009,47.7047,9.003
ESV,2010,56.7077,-3.156
ESV,2011,53.5516,3.2156
ESV,2012,56.7673,-2.876
ESV,2013,53.8913,5.0993
ESV,2014,58.9905,-3.6514
ESV,2015,55.3392,-0.0517
ESV,2016,55.2875,-3.8559
ESV,2017,51.4316,5.0365
ESV,2018,56.4681,-1.1919
ESV,2019,55.2762,0.0588
ESV,2020,55.335,1.0596
ESV,2021,56.3946,-3.9168
ESV,2022,52.4778,3.2891
ESV,2023,55.7669,81.7479
ESV,2024,137.5148,0.3204
ESV,2025,137.8352,-0.2357
ESV,2026,137.5995,0.2169
ESV,2027,137.8165,0.3746
ESV,2028,138.1911,-0.1132
ESV,2029,138.0779,0.3694
ESV,2030,138.4473,0.0055
GCBA,2000,40.5252,40.5252
GCBA,2001,42.1486,42.1486
GCBA,2002,41.1567,41.1567
GCBA,2003,40.69,40.69
GCBA,2004,39.4358,39.4358
GCBA,2005,43.2791,43.2791
GCBA,2006,39.0529,39.0529
GCBA,2007,37.3118,37.3118
GCBA,2008,37.5217,37.5217
GCBA,2009,38.7668,38.7668
GCBA,2010,39.0176,39.0176
GCBA,2011,36.6369,36.6369
GCBA,2012,37.6847,37.6847
GCBA,2013,36.561,36.561
GCBA,2014,33.4183,33.4183
GCBA,2015,33.5445,33.5445
GCBA,2016,40.6788,40.6788
GCBA,2017,38.657,38.657
GCBA,2018,34.5766,34.5766
GCBA,2019,34.5915,34.5915
GCBA,2020,36.4645,36.4645
GCBA,2021,37.1406,37.1406
GCBA,2022,35.3212,35.3212
GCBA,2023,129.3548,129.3548
GCBA,2024,128.7578,128.7578
GCBA,2025,129.0689,129.0689
GCBA,2026,129.1785,129.1785
GCBA,2027,129.7991,129.7991
GCBA,2028,129.5565,129.5565
GCBA,2029,129.3334,129.3334
GCBA,2030,129.8144,129.8144
GDP,2001,37.9046,4.1871
GDP,2002,42.0917,-4.4011
GDP,2003,37.6906,4.4872
GDP,2004,42.1778,-3.7327
GDP,2005,38.4451,4.1963
GDP,2006,42.6414,1.2888
GDP,2007,43.9302,-1.4493
GDP,2008,42.4809,1.7207
GDP,2009,44.2016,0.7117
GDP,2010,44.9134,-1.476
GDP,2011,43.4373,-3.5721
GDP,2012,39.8652,-1.3041
GDP,2013,38.5611,3.0003
GDP,2014,41.5614,1.8836
GDP,2015,43.4451,-0.8052
GDP,2016,42.6399,-0.3151
GDP,2017,42.3248,0.6273
GDP,2018,42.9521,0.3485
GDP,2019,43.3005,-0.6494
GDP,2020,42.6511,2.6792
GDP,2021,45.3303,2.4702
GDP,2022,47.8006,1.1654
GDP,2023,48.966,91.2021
GDP,2024,140.1681,-0.2237
GDP,2025,139.9444,0.4611
GDP,2026,140.4055,-0.0415
GDP,2027,140.364,-0.1935
GDP,2028,140.1705,0.2298
GDP,2029,140.4003,-0.1009
GDP,2030,140.2994,0.5712
GSA,2000,111.485,111.485
GSA,2001,109.898,109.898
GSA,2002,112.6559,112.6559
GSA,2003,110.0124,110.0124
GSA,2004,109.4763,109.4763
GSA,2005,111.057,111.057
GSA,2006,115.8366,115.8366
GSA,2007,115.341,115.341
GSA,2008,114.9091,114.9091
GSA,2009,114.2414,114.2414
GSA,2010,118.9572,118.9572
GSA,2011,113.1105,113.1105
GSA,2012,118.4086,118.4086
GSA,2013,120.6404,120.6404
GSA,2014,121.9566,121.9566
GSA,2015,119.854,119.854
GSA,2016,121.3299,121.3299
GSA,2017,120.7595,120.7595
GSA,2018,121.8831,121.8831
GSA,2019,122.5096,122.5096
GSA,2020,122.809,122.809
GSA,2021,121.8787,121.8787
GSA,2022,122.6585,122.6585
GSA,2023,123.9751,123.9751
GSA,2024,125.9,125.9
GSA,2025,126.5722,126.5722
GSA,2026,127.3472,127.3472
GSA,2027,127.9639,127.9639
GSA,2028,128.6872,128.6872
GSA,2029,129.799,129.799
GSA,2030,130.4007,130.4007
HETeach,2000,56.9629,56.9629
HETeach,2001,58.7126,58.7126
HETeach,2002,62.2654,62.2654
HETeach,2003,58.4523,58.4523
HETeach,2004,65.4474,65.4474
HETeach,2005,59.7202,59.7202
HETeach,2006,56.7524,56.7524
HETeach,2007,60.7402,60.7402
HETeach,2008,61.5426,61.5426
HETeach,2009,58.2501,58.2501
HETeach,2010,58.7989,58.7989
HETeach,2011,60.335,60.335
HETeach,2012,60.4463,60.4463
HETeach,2013,61.8039,61.8039
HETeach,2014,60.6983,60.6983
HETeach,2015,60.9186,60.9186
HETeach,2016,61.265,61.265
HETeach,2017,62.1748,62.1748
HETeach,2018,59.6288,59.6288
HETeach,2019,62.2197,62.2197
HETeach,2020,62.6345,62.6345
HETeach,2021,64.2933,64.2933
HETeach,2022,63.4326,63.4326
HETeach,2023,127.1902,127.1902
HETeach,2024,127.2552,127.2552
HETeach,2025,128.3517,128.3517
HETeach,2026,128.5172,128.5172
HETeach,2027,129.1088,129.1088
HETeach,2028,129.2282,129.2282
HETeach,2029,130.2786,130.2786
HETeach,2030,130.0668,130.0668
LFE,2001,103.5758,2.1547
LFE,2002,105.7305,1.4758
LFE,2003,107.2063,-2.8354
LFE,2004,104.3709,-2.3961
LFE,2005,101.9748,1.8305
LFE,2006,103.8053,-1.9567
LFE,2007,101.8486,1.6093
LFE,2008,103.4579,4.1937
LFE,2009,107.6516,-4.1123
LFE,2010,103.5393,-1.3303
LFE,2011,102.209,0.0759
LFE,2012,102.2849,-2.3904
LFE,2013,99.8945,1.2379
LFE,2014,101.1324,1.0575
LFE,2015,102.1899,-2.519
LFE,2016,99.671,5.8306
LFE,2017,105.5015,-1.6406
LFE,2018,103.8609,-2.3532
LFE,2019,101.5077,-0.3415
LFE,2020,101.1662,1.6661
LFE,2021,102.8323,-4.5819
LFE,2022,98.2504,5.3985
LFE,2023,103.6489,32.2604
LFE,2024,135.9093,-0.3052
LFE,2025,135.6041,0.2966
LFE,2026,135.9007,-0.1592
LFE,2027,135.7415,-0.0528
LFE,2028,135.6888,0.0825
LFE,2029,135.7712,-0.82
LFE,2030,134.9512,0.4105
PD,2000,105.257,105.257
PD,2001,108.6594,108.6594
PD,2002,108.8087,108.8087
PD,2003,109.4964,109.4964
PD,2004,111.2912,111.2912
PD,2005,112.4678,112.4678
PD,2006,115.5662,115.5662
PD,2007,117.5076,117.5076
PD,2008,121.9328,121.9328
PD,2009,119.3995,119.3995
PD,2010,124.2189,124.2189
PD,2011,120.176,120.176
PD,2012,122.3886,122.3886
PD,2013,125.0116,125.0116
PD,2014,126.0069,126.0069
PD,2015,123.5668,123.5668
PD,2016,130.065,130.065
PD,2017,127.6263,127.6263
PD,2018,129.0023,129.0023
PD,2019,136.3412,136.3412
PD,2020,128.834,128.834
PD,2021,131.4024,131.4024
PD,2022,136.6354,136.6354
PD,2023,154.5626,154.5626
PD,2024,154.892,154.892
PD,2025,155.8415,155.8415
PD,2026,156.3442,156.3442
PD,2027,157.2442,157.2442
PD,2028,157.1548,157.1548
PD,2029,157.8684,157.8684
PD,2030,158.1017,158.1017
PIV,2000,102.3669,102.3669
PIV,2001,96.5195,96.5195
PIV,2002,101.1737,101.1737
PIV,2003,102.625,102.625
PIV,2004,100.418,100.418
PIV,2005,104.0129,104.0129
PIV,2006,106.6165,106.6165
PIV,2007,106.7617,106.7617
PIV,2008,106.0861,106.0861
PIV,2009,107.4817,107.4817
PIV,2010,105.3174,105.3174
PIV,2011,106.1939,106.1939
PIV,2012,110.1096,110.1096
PIV,2013,109.7238,109.7238
PIV,2014,111.797,111.797
PIV,2015,109.7566,109.7566
PIV,2016,114.4374,114.4374
PIV,2017,111.1929,111.1929
PIV,2018,111.7752,111.7752
PIV,2019,118.7393,118.7393
PIV,2020,112.3827,112.3827
PIV,2021,113.0868,113.0868
PIV,2022,112.8345,112.8345
PIV,2023,131.3965,131.3965
PIV,2024,131.4812,131.4812
PIV,2025,132.1901,132.1901
PIV,2026,132.1596,132.1596
PIV,2027,132.5724,132.5724
PIV,2028,132.7957,132.7957
PIV,2029,133.3299,133.3299
PIV,2030,133.6234,133.6234
PRA,2000,45.9627,45.9627
PRA,2001,42.2693,42.2693
PRA,2002,39.7775,39.7775
PRA,2003,44.3174,44.3174
PRA,2004,42.3479,42.3479
PRA,2005,41.6078,41.6078
PRA,2006,39.0743,39.0743
PRA,2007,42.7058,42.7058
PRA,2008,37.3026,37.3026
PRA,2009,38.0288,38.0288
PRA,2010,42.3367,42.3367
PRA,2011,40.5711,40.5711
PRA,2012,42.259,42.259
PRA,2013,39.1629,39.1629
PRA,2014,40.2353,40.2353
PRA,2015,42.238,42.238
PRA,2016,39.5961,39.5961
PRA,2017,36.2688,36.2688
PRA,2018,40.8497,40.8497
PRA,2019,41.8547,41.8547
PRA,2020,38.4156,38.4156
PRA,2021,38.1927,38.1927
PRA,2022,34.9833,34.9833
PRA,2023,118.6487,118.6487
PRA,2024,118.7786,118.7786
PRA,2025,119.4027,119.4027
