city,attribute,r2_var,r2_lstm,mae_var,mae_lstm,rmse_var,rmse_lstm
Beijing,AW,0.7628,0.7118,0.1702,0.2014,0.2079,0.2393
Beijing,Beds,0.8398,0.7668,0.0949,0.1022,0.1226,0.1446
Beijing,Bus,0.783,0.7151,0.1269,0.1442,0.1673,0.1759
Beijing,DEU,0.7959,0.7556,0.1249,0.1426,0.1554,0.1917
Beijing,DWU,0.7502,0.6922,0.1715,0.1994,0.2067,0.2426
Beijing,ERV,0.9086,0.8395,0.073,0.0779,0.0955,0.111
Beijing,ESV,0.8003,0.7291,0.1145,0.1285,0.1349,0.1638
Beijing,GCBA,0.7627,0.6864,0.1336,0.1554,0.1618,0.188
Beijing,GDP,0.8379,0.7678,0.0895,0.0969,0.1133,0.1343
Beijing,GSA,0.773,0.6982,0.135,0.1499,0.17,0.1878
Beijing,HETeach,0.7871,0.7172,0.1478,0.1696,0.1812,0.2109
Beijing,LFE,0.7874,0.718,0.168,0.1885,0.1957,0.2249
Beijing,PD,0.7657,0.7255,0.1986,0.209,0.2677,0.314
Beijing,PIV,0.8267,0.7568,0.1251,0.1322,0.1514,0.1681
Beijing,PRA,0.7796,0.709,0.1668,0.1826,0.2054,0.222
Beijing,Phys,0.7948,0.7347,0.1293,0.145,0.1508,0.1677
Beijing,SIV,0.8013,0.7413,0.1332,0.1562,0.1733,0.2008
Beijing,TIV,0.9395,0.8637,0.038,0.0421,0.0511,0.06
Beijing,Teach,0.7815,0.7222,0.1563,0.1726,0.1872,0.2011
Beijing,UR,0.8346,0.765,0.128,0.1365,0.155,0.1885
Beijing,URate,0.7993,0.7543,0.1173,0.1321,0.1353,0.1528
Tianjin,AW,0.7647,0.6859,0.1674,0.1789,0.2026,0.2149
Tianjin,Beds,0.8023,0.7536,0.1199,0.1359,0.1396,0.1611
Tianjin,Bus,0.7718,0.7161,0.1743,0.1978,0.2342,0.2473
Tianjin,DEU,0.8112,0.7401,0.126,0.1394,0.1672,0.2027
Tianjin,DWU,0.7488,0.6942,0.1655,0.1852,0.1908,0.2285
Tianjin,ERV,0.8889,0.8189,0.0761,0.0845,0.0954,0.1055
